video,frame_idx,frame_ts_ms,saved_path,orig_w,orig_h,scale,sharpness
Данные/25_12-20/25_12-20.mp4,0,0,ml/output/frames/25_12-20/000000.jpg,3840,2160,0.5,5876.8
Данные/25_12-20/25_12-20.mp4,15,766,ml/output/frames/25_12-20/000015.jpg,3840,2160,0.5,4874.6
Данные/25_12-20/25_12-20.mp4,20,1022,ml/output/frames/25_12-20/000020.jpg,3840,2160,0.5,3613.0
Данные/25_12-20/25_12-20.mp4,25,1277,ml/output/frames/25_12-20/000025.jpg,3840,2160,0.5,2572.6
Данные/25_12-20/25_12-20.mp4,30,1532,ml/output/frames/25_12-20/000030.jpg,3840,2160,0.5,2516.9
Данные/25_12-20/25_12-20.mp4,35,1788,ml/output/frames/25_12-20/000035.jpg,3840,2160,0.5,2510.9
Данные/25_12-20/25_12-20.mp4,40,2043,ml/output/frames/25_12-20/000040.jpg,3840,2160,0.5,2583.7
Данные/25_12-20/25_12-20.mp4,45,2298,ml/output/frames/25_12-20/000045.jpg,3840,2160,0.5,2543.6
Данные/25_12-20/25_12-20.mp4,50,2554,ml/output/frames/25_12-20/000050.jpg,3840,2160,0.5,2616.4
Данные/25_12-20/25_12-20.mp4,55,2809,ml/output/frames/25_12-20/000055.jpg,3840,2160,0.5,2702.1
Данные/25_12-20/25_12-20.mp4,60,3065,ml/output/frames/25_12-20/000060.jpg,3840,2160,0.5,2945.1
Данные/25_12-20/25_12-20.mp4,65,3320,ml/output/frames/25_12-20/000065.jpg,3840,2160,0.5,2752.7
Данные/25_12-20/25_12-20.mp4,70,3575,ml/output/frames/25_12-20/000070.jpg,3840,2160,0.5,2695.4
Данные/25_12-20/25_12-20.mp4,75,3831,ml/output/frames/25_12-20/000075.jpg,3840,2160,0.5,2651.5
Данные/25_12-20/25_12-20.mp4,80,4086,ml/output/frames/25_12-20/000080.jpg,3840,2160,0.5,2622.1
Данные/25_12-20/25_12-20.mp4,85,4342,ml/output/frames/25_12-20/000085.jpg,3840,2160,0.5,2582.7
Данные/25_12-20/25_12-20.mp4,90,4597,ml/output/frames/25_12-20/000090.jpg,3840,2160,0.5,2573.8
